Location,price_php_millions,Bedrooms,Bathrooms,Floor Area,Land Area,Town/Barangay,Municipality/City,Province/NCR
"Adlas, Silang",12.68,5.0,3.0,142.0,174.0,Adlas,Silang,Cavite
"Pasong Camachile I, General Trias",6.76,4.0,3.0,110.0,100.0,Pasong Camachile I,General Trias,Cavite
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.22,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Cupang, Muntinlupa",31.11,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",31.11,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.95,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Cupang, Muntinlupa",32.54,3.0,3.0,247.4,93.0,Cupang,Muntinlupa City,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",34.6,3.0,3.0,247.4,94.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.36,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.36,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Talaga, Capas",8.72,,2.0,99.0,60.0,Talaga,Capas,Tarlac
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.57,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Caysio Rd. Caysio, Santa Maria",5.18,3.0,2.0,75.26,80.0,Caysio,Santa Maria,Bulacan
"Purok Hurtado Concepcion, Koronadal",3.53,2.0,1.0,40.31,84.0,Concepcion (Bo. 6),Koronadal,South Cotabato
"Aningway Sacatihan, Subic",8.46,5.0,3.0,100.0,163.0,Aningway Sacatihan,Subic,Zambales
"Aningway Sacatihan, Subic",3.79,2.0,1.0,40.0,73.0,Aningway Sacatihan,Subic,Zambales
"Aningway Sacatihan, Subic",6.06,3.0,2.0,66.0,95.0,Aningway Sacatihan,Subic,Zambales
"Arnaldo Highway Santiago, General Trias",4.06,3.0,2.0,54.0,80.0,Santiago,General Trias,Cavite
"Caingin, San Rafael",1.8,2.0,1.0,46.0,41.0,Caingin,San Rafael,Bulacan
"Camella Tarlac Access Rd. Maliwalo, Tarlac",8.94,5.0,3.0,97.0,145.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",7.06,4.0,3.0,83.0,99.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",12.38,5.0,3.0,166.0,198.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",11.51,5.0,3.0,142.0,202.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.41,2.0,2.0,53.0,88.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",2.74,2.0,1.0,36.0,42.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",10.16,5.0,3.0,100.0,176.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",8.23,5.0,3.0,100.0,121.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",2.87,2.0,1.0,36.0,48.0,Maliwalo,Tarlac City,Tarlac
"Tamiao, Compostela",5.05,2.0,2.0,53.0,50.0,Tamiao,Compostela,Cebu
"Camella Tarlac Access Rd. Maliwalo, Tarlac",3.07,2.0,1.0,36.0,63.0,Maliwalo,Tarlac City,Tarlac
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.65,5.0,3.0,100.0,121.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",9.15,5.0,3.0,100.0,141.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.79,2.0,1.0,46.0,64.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6.5,3.0,2.0,66.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.03,2.0,1.0,50.0,99.0,Maliwalo,Tarlac City,Tarlac
"Bugtong Na Pulo, Lipa",5.69,4.0,2.0,80.0,100.0,Bugtong na Pulo,Lipa City,Batangas
"Arnaldo Highway Santiago, General Trias",4.06,3.0,2.0,54.0,80.0,Santiago,General Trias,Cavite
"Valle Cruz, Cabanatuan",4.9,3.0,2.0,81.0,117.0,Valle Cruz,Cabanatuan City,Nueva Ecija
"Aningway Sacatihan, Subic",9.18,5.0,3.0,142.0,153.0,Aningway Sacatihan,Subic,Zambales
"Bugtong Na Pulo, Lipa",5.69,4.0,2.0,80.0,100.0,Bugtong na Pulo,Lipa City,Batangas
"Julugan I, Tanza",1.65,2.0,1.0,44.0,36.0,Julugan I,Tanza,Cavite
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.65,5.0,3.0,100.0,121.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",9.15,5.0,3.0,100.0,141.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6.5,3.0,2.0,66.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.79,2.0,1.0,46.0,64.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10.58,5.0,3.0,166.0,143.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.26,2.0,1.0,46.0,54.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5.42,2.0,2.0,53.0,88.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3.15,2.0,1.0,36.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2.8,2.0,1.0,36.0,36.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.24,3.0,2.0,53.0,133.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.35,2.0,1.0,40.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Tamiao, Compostela",4.39,2.0,2.0,53.0,50.0,Tamiao,Compostela,Cebu
"Aningway Sacatihan, Subic",5.58,2.0,2.0,53.0,95.0,Aningway Sacatihan,Subic,Zambales
"MacArthur Hwy Anonas, Urdaneta",8.73,3.0,2.0,66.0,158.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",5.3,3.0,2.0,66.0,88.0,Anonas,Urdaneta,Pangasinan
"MacArthur Hwy Anonas, Urdaneta",9.38,3.0,2.0,66.0,174.0,Anonas,Urdaneta,Pangasinan
"Santa Maria, Mabalacat",1.98,2.0,1.0,38.88,43.2,Santa Maria,Mabalacat City,Pampanga
"Cupang, Muntinlupa",32.54,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",31.35,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.51,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Cupang, Muntinlupa",32.54,3.0,3.0,247.4,93.0,Cupang,Muntinlupa City,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.33,3.0,3.0,247.4,94.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.18,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.54,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",34.02,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Cupang, Muntinlupa",32.33,3.0,3.0,247.4,94.0,Cupang,Muntinlupa City,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.54,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",27.09,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Cupang, Muntinlupa",31.71,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.36,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",27.68,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",29.1,3.0,3.0,219.3,106.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",34.02,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Aningway Sacatihan, Subic",4.87,2.0,2.0,53.0,88.0,Aningway Sacatihan,Subic,Zambales
"Camella Tarlac Access Rd. Maliwalo, Tarlac",11.87,5.0,3.0,142.0,198.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",6.89,4.0,3.0,83.0,104.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.0,2.0,1.0,46.0,66.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.19,2.0,1.0,46.0,96.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.49,2.0,1.0,46.0,63.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",3.56,2.0,1.0,46.0,63.0,Maliwalo,Tarlac City,Tarlac
"Aningway Sacatihan, Subic",5.6,2.0,2.0,53.0,115.0,Aningway Sacatihan,Subic,Zambales
"San Sebastian, Kawit",5.98,3.0,3.0,90.0,100.0,San Sebastian,Kawit,Cavite
"Aningway Sacatihan, Subic",10.77,5.0,3.0,166.0,176.0,Aningway Sacatihan,Subic,Zambales
"Aningway Sacatihan, Subic",11.74,5.0,3.0,142.0,190.0,Aningway Sacatihan,Subic,Zambales
"Valle Cruz, Cabanatuan",4.77,3.0,2.0,80.0,203.0,Valle Cruz,Cabanatuan City,Nueva Ecija
"San Sebastian, Kawit",7.41,4.0,3.0,100.0,120.0,San Sebastian,Kawit,Cavite
"Ungka II, Pavia",4.44,3.0,2.0,72.0,100.0,Ungka II,Pavia,Iloilo
"President Jose P. Laurel Hwy Banaybanay II, San Jose",8.7,3.0,3.0,84.75,125.21,Banaybanay II,San Jose,Batangas
"Sapang Biabas, Mabalacat",2.71,3.0,2.0,62.0,65.0,Sapang Biabas,Mabalacat City,Pampanga
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.95,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"President Jose P. Laurel Hwy Banaybanay II, San Jose",8.7,3.0,3.0,84.75,125.21,Banaybanay II,San Jose,Batangas
"Valle Cruz, Cabanatuan",7.45,3.0,2.0,80.0,203.0,Valle Cruz,Cabanatuan City,Nueva Ecija
"Pasong Camachile I, General Trias",5.69,3.0,2.0,72.0,100.0,Pasong Camachile I,General Trias,Cavite
"Talaga, Capas",9.27,,2.0,99.0,60.0,Talaga,Capas,Tarlac
"MacArthur Hwy Anonas, Urdaneta",5.69,2.0,2.0,53.0,110.0,Anonas,Urdaneta,Pangasinan
"Aningway Sacatihan, Subic",13.48,5.0,3.0,166.0,230.0,Aningway Sacatihan,Subic,Zambales
"San Sebastian, Kawit",7.41,4.0,3.0,100.0,120.0,San Sebastian,Kawit,Cavite
"Talaga, Capas",9.27,,2.0,99.0,60.0,Talaga,Capas,Tarlac
"MacArthur Hwy Anonas, Urdaneta",8.43,2.0,2.0,53.0,246.0,Anonas,Urdaneta,Pangasinan
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.68,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Valle Cruz, Cabanatuan",5.77,4.0,2.0,96.0,196.0,Valle Cruz,Cabanatuan City,Nueva Ecija
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.95,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"President Jose P. Laurel Hwy Banaybanay II, San Jose",8.7,3.0,3.0,84.75,125.21,Banaybanay II,San Jose,Batangas
"Longos, Malolos",4.08,2.0,1.0,36.0,74.0,Longos,Malolos,Bulacan
"Longos, Malolos",12.58,4.0,3.0,83.0,132.0,Longos,Malolos,Bulacan
"Longos, Malolos",7.42,4.0,3.0,85.0,99.0,Longos,Malolos,Bulacan
"Longos, Malolos",4.41,2.0,1.0,36.0,63.0,Longos,Malolos,Bulacan
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.61,2.0,1.0,46.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Aningway Sacatihan, Subic",10.18,5.0,3.0,142.0,142.0,Aningway Sacatihan,Subic,Zambales
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3.7,2.0,1.0,40.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.43,2.0,1.0,40.0,64.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8.16,5.0,3.0,100.0,121.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.76,4.0,3.0,83.0,110.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2.72,2.0,1.0,36.0,42.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3.23,2.0,1.0,36.0,54.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Antero-Soriano Hwy, Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3.64,2.0,1.0,39.64,100.0,Sahud Ulan,Tanza,Cavite
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10.06,5.0,3.0,166.0,143.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8.61,5.0,3.0,100.0,132.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10.35,5.0,3.0,142.0,143.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8.09,4.0,3.0,85.0,120.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5.78,2.0,2.0,53.0,96.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Aningway Sacatihan, Subic",12.87,5.0,3.0,166.0,198.0,Aningway Sacatihan,Subic,Zambales
"San Isidro, Cainta",10.5,3.0,3.0,120.0,132.0,San Isidro,Cainta,Rizal
"Km.71, North Luzon Expressway Panipuan, Mexico",3.12,3.0,2.0,89.54,154.0,Panipuan,Mexico,Pampanga
"Aningway Sacatihan, Subic",12.04,5.0,3.0,166.0,190.0,Aningway Sacatihan,Subic,Zambales
"Buhay na Tubig, Imus",15.5,2.0,1.0,60.0,185.0,Buhay na Tubig,Imus,Cavite
"Cabuco, Trece Martires",2.09,2.0,2.0,40.0,45.0,Cabuco,Trece Martires City,Cavite
"Efigenio Lizares, Talisay",3.08,2.0,1.0,34.2,84.0,Efigenio Lizares,Talisay,Negros Occidental
"Sucat, Muntinlupa",7.11,,,79.0,,Sucat,Muntinlupa,Metro Manila
"Cabuco, Trece Martires",1.92,2.0,2.0,38.0,36.0,Cabuco,Trece Martires City,Cavite
"Aningway Sacatihan, Subic",6.48,4.0,3.0,83.0,110.0,Aningway Sacatihan,Subic,Zambales
"Poblacion, Makati",85.0,,,890.0,481.5,Poblacion,Makati City,Metro Manila
"Orange Grv, 8000 Davao City, Philippines Matina Pangi, Davao",8.0,4.0,3.0,133.5,122.0,Talomo,Davao City,Davao del Sur
"Buhangin, Davao",17.5,5.0,4.0,260.0,232.0,Buhangin,Davao City,Davao del Sur
"Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",5.82,,,67.5,100.0,Sahud Ulan,Tanza,Cavite
"Alapan II-A, Imus",7.41,4.0,3.0,100.0,120.0,Alapan II-A,Imus,Cavite
"Antero-Soriano Hwy, Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3.65,3.0,1.0,67.5,100.0,Sahud Ulan,Tanza,Cavite
"Arnaldo Highway Santiago, General Trias",4.06,3.0,2.0,54.0,80.0,Santiago,General Trias,Cavite
"Cupang, Muntinlupa",32.54,3.0,3.0,247.4,93.0,Cupang,Muntinlupa City,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.63,3.0,3.0,219.3,105.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.39,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.09,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.95,3.0,3.0,219.3,91.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",29.2,3.0,3.0,219.3,105.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.64,3.0,3.0,219.3,105.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.54,3.0,3.0,247.4,93.0,Cupang,Muntinlupa,Metro Manila
"Km. 19 West Service Rd. Cupang, Muntinlupa",26.98,3.0,3.0,219.3,92.0,Cupang,Muntinlupa,Metro Manila
"Cabuco, Trece Martires",2.09,2.0,2.0,40.0,45.0,Cabuco,Trece Martires City,Cavite
"Carsadang Bago I, Imus",5.23,3.0,2.0,75.0,80.0,Carsadang Bago I,Imus,Cavite
"Bilibiran, Binangonan",2.5,5.0,3.0,142.0,397.0,Bilibiran,Binangonan,Rizal
"Camella Tarlac Access Rd. Maliwalo, Tarlac",7.8,4.0,3.0,83.0,121.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.36,2.0,1.0,46.0,72.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.06,2.0,1.0,40.0,63.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.87,3.0,2.0,66.0,88.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",8.08,4.0,3.0,85.0,121.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.94,2.0,1.0,36.0,115.0,Maliwalo,Tarlac City,Tarlac
"Purok Hurtado Concepcion, Koronadal",3.14,2.0,1.0,40.31,78.4,Concepcion (Bo. 6),Koronadal,South Cotabato
"Carsadang Bago I, Imus",5.23,3.0,2.0,75.0,80.0,Carsadang Bago I,Imus,Cavite
"Aningway Sacatihan, Subic",6.75,4.0,3.0,83.0,121.0,Aningway Sacatihan,Subic,Zambales
"Km. 19 West Service Rd. Cupang, Muntinlupa",27.09,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Aningway Sacatihan, Subic",12.07,5.0,3.0,142.0,246.0,Aningway Sacatihan,Subic,Zambales
"Aningway Sacatihan, Subic",5.36,2.0,2.0,53.0,88.0,Aningway Sacatihan,Subic,Zambales
"Camella Tarlac Access Rd. Maliwalo, Tarlac",8.08,4.0,3.0,85.0,121.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.87,3.0,2.0,66.0,88.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",7.8,4.0,3.0,83.0,121.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.36,2.0,1.0,46.0,72.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.07,2.0,1.0,50.0,91.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",12.94,5.0,3.0,166.0,236.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.06,2.0,1.0,40.0,63.0,Maliwalo,Tarlac City,Tarlac
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.94,2.0,1.0,36.0,115.0,Maliwalo,Tarlac City,Tarlac
"Bilibiran, Binangonan",2.5,5.0,3.0,142.0,397.0,Bilibiran,Binangonan,Rizal
"Sapang Biabas, Mabalacat",2.22,2.0,1.0,50.0,65.0,Sapang Biabas,Mabalacat City,Pampanga
"MacArthur Hwy Anonas, Urdaneta",4.71,2.0,2.0,53.0,88.0,Anonas,Urdaneta,Pangasinan
"Efigenio Lizares, Talisay",3.18,2.0,1.0,40.31,84.0,Efigenio Lizares,Talisay,Negros Occidental
"MacArthur Hwy Anonas, Urdaneta",5.3,2.0,2.0,53.0,96.0,Anonas,Urdaneta,Pangasinan
"Km.71, North Luzon Expressway Panipuan, Mexico",2.15,3.0,2.0,61.33,154.0,Panipuan,Mexico,Pampanga
"Governor's Dr, 4114 Dasmarinas, Philippines Paliparan III, Dasmarinas",14.45,5.0,3.0,142.0,154.0,Paliparan III,Dasmariñas,Cavite
"Pasong Camachile I, General Trias",3.34,4.0,2.0,70.0,60.0,Pasong Camachile I,General Trias,Cavite
"Longos, Malolos",4.2,2.0,1.0,40.0,63.0,Longos,Malolos,Bulacan
"Longos, Malolos",5.73,2.0,2.0,53.0,88.0,Longos,Malolos,Bulacan
"Longos, Malolos",5.54,2.0,1.0,36.0,104.0,Longos,Malolos,Bulacan
"Longos, Malolos",7.81,3.0,2.0,66.0,99.0,Longos,Malolos,Bulacan
"Longos, Malolos",8.3,5.0,3.0,100.0,110.0,Longos,Malolos,Bulacan
"Longos, Malolos",4.47,2.0,1.0,46.0,63.0,Longos,Malolos,Bulacan
"Km. 19 West Service Rd. Cupang, Muntinlupa",32.18,3.0,3.0,247.4,92.0,Cupang,Muntinlupa,Metro Manila
"Aningway Sacatihan, Subic",4.59,2.0,1.0,46.0,63.0,Aningway Sacatihan,Subic,Zambales
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.16,2.0,1.0,46.0,60.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6.88,4.0,3.0,85.0,110.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6.26,3.0,2.0,66.0,96.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6.56,3.0,2.0,66.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",9.0,5.0,3.0,100.0,141.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6.35,3.0,2.0,66.0,96.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Almanza Dos, Las Pinas",35.0,5.0,5.0,380.0,350.0,Almanza Dos,Las Piñas,Metro Manila
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.9,2.0,1.0,46.0,60.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5.28,2.0,1.0,46.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.28,2.0,1.0,46.0,60.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.36,2.0,1.0,36.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4.39,2.0,1.0,40.0,63.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Zambowood Rd. Boalan, Zamboanga",2.45,2.0,1.0,40.32,50.4,Boalan,Zamboanga City,Zamboanga del Sur
"Perrelos, Carcar",11.0,3.0,3.0,442.0,283.0,Perrelos,Carcar,Cebu
"San Isidro, Cainta",14.7,4.0,3.0,255.0,187.0,San Isidro,Cainta,Rizal
"Bintog, Plaridel",3.31,,,144.0,105.0,Bintog,Plaridel,Bulacan
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4.54,2.0,1.0,36.0,98.0,Maliwalo,Tarlac City,Tarlac
"President Jose P. Laurel Hwy Banaybanay II, San Jose",4.06,2.0,2.0,48.26,50.0,Banaybanay II,San Jose,Batangas
"Carsadang Bago I, Imus",5.23,3.0,2.0,75.0,80.0,Carsadang Bago I,Imus,Cavite
"Divisoria, Mexico",2.53,2.0,2.0,48.0,45.5,Divisoria,Mexico,Pampanga
"The Wood Estates, Brgy. Hugo Perez, Trece Martires",2.15,1.0,1.0,27.21,69.0,Perez (Lucbanan),Trece Martires City,Cavite
"President Jose P. Laurel Hwy Banaybanay II, San Jose",4.06,2.0,2.0,48.26,50.0,Banaybanay II,San Jose,Batangas
"Governor's Dr, 4114 Dasmarinas, Philippines Paliparan III, Dasmarinas",14.99,5.0,3.0,166.0,154.0,Paliparan III,Dasmariñas,Cavite
"Talaga, Capas",3.06,,2.0,66.0,80.0,Talaga,Capas,Tarlac
"Sapang Biabas, Mabalacat",2.22,2.0,1.0,50.0,65.0,Sapang Biabas,Mabalacat City,Pampanga
"#91 ( Lot 16 Block LCH-1 ) Waling-Waling Street Roxas District Quezon City Metro Manila Roxas, Quezon City",5.0,,,167.5,200.0,Roxas District,Quezon City,Metro Manila
"Santa Maria, Mabalacat",3.83,3.0,,53.6,88.0,Santa Maria,Mabalacat City,Pampanga
"Metrocor-B Homes, Talon 5, Las Pinas City Talon Singko, Las Pinas",8.9,4.0,3.0,143.0,80.0,Talon 5,Las Piñas,Metro Manila
"San Juan - Laiya Rd. Calubcub II, San Juan",12.1,3.0,2.0,100.0,200.0,Calubcub II,San Juan,Batangas
"Alfonso, Concepcion",3.34,3.0,2.0,107.6,100.0,Alfonso,Concepcion,Tarlac
"B.F. Homes, Paranaque",35.0,4.0,6.0,330.0,280.0,B. F. Homes,Parañaque,Metro Manila
"San Juan - Laiya Rd. Calubcub II, San Juan",18.77,3.0,2.0,100.0,200.0,Calubcub II,San Juan,Batangas
"Camella Tarlac Access Rd. Maliwalo, Tarlac",9.68,5.0,3.0,100.0,148.0,Maliwalo,Tarlac City,Tarlac
